选课课号,课程名称,教师,上课时间,周1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,校区,教室,开课学院
01A00443-0738-1,逻辑学,赵艺,"周三第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,1－203,文学院..
01A00443-0738-2,逻辑学,赵艺,"周四第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,1－202,文学院..
01A00443-0738-3,逻辑学,赵艺,"周四第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－204,文学院..
01A00443-0738-4,逻辑学,赵艺,"周三第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－302,文学院..
01B24341-9322-1,媒介市场调查,郑文艺,"周二第7,8节",★,★,★,★,★,★,★,★,★,,,,,,,,,,,,1,5－207,文学院..
01B24341-9322-1,媒介市场调查,郑文艺,"周二第5,6节",★,★,★,★,★,★,★,★,★,,,,,,,,,,,,1,5－207,文学院..
01D13646-0400-1,语文教学论,郑有才,"周五第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－101,文学院..
01D13646-3685-1,语文教学论,王萍,"周二第9,10节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－205,文学院..
01D13646-4535-1,语文教学论,韩后,"周五第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－202,文学院..
01D14640-0400-1,中国语文教育发展史,郑有才,"周五第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,1－206,文学院..
01E0204f-2689-1,比较文学,滕威,"周六第1,2节",,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,0,南404,文学院..
01E0204f-2689-1,比较文学,滕威,"周六第3,4节",,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,0,南404,文学院..
01E02241-0332-1,编辑出版学概论,罗映纯,"周三第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,5－305,文学院..
01E03345-4760-1,当代西方美学个案研究,张成华,"周三第7,8节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－103,文学院..
01E0414b-0462-1,古代汉语（2）,田范芬,"周一第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,1－202,文学院..
01E0414b-2692-1,古代汉语（2）,谢洁瑕,"周一第9,10节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－202,文学院..
01E0414b-3945-2,古代汉语（2）,任家贤,"周一第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,1－205,文学院..
01E0414b-3945-3,古代汉语（2）,任家贤,"周一第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－304,文学院..
01E0594f-0335-1,汉字学,张玉金,"周六第7,8节",,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,0,南404,文学院..
01E0594f-0335-1,汉字学,张玉金,"周六第5,6节",,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,0,南404,文学院..
01E06261-0392-1,基础写作,涂成林,"周二第5,6节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－205,文学院..
01E06261-0392-1,基础写作,涂成林,周二第7节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－205,文学院..
01E06261-0410-1,基础写作,张永璟,"周一第5,6节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－206,文学院..
01E06261-0410-1,基础写作,张永璟,周一第7节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－206,文学院..
01E06261-0448-1,基础写作,张建炜,"周五第3,4节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－205,文学院..
01E06261-0448-1,基础写作,张建炜,周五第2节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－205,文学院..
01E06261-0452-1,基础写作,徐珊,周一第2节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－205,文学院..
01E06261-0452-1,基础写作,徐珊,"周一第3,4节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－205,文学院..
01E06261-2688-1,基础写作,邓玉环,周一第2节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－301,文学院..
01E06261-2688-1,基础写作,邓玉环,"周一第3,4节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－301,文学院..
01E08045-0464-1,美学,陈立群,"周二第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,1－102,文学院..
01E08045-0464-2,美学,陈立群,"周二第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,5－405,文学院..
01E08045-2661-1,美学,李艳丰,"周五第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－102,文学院..
01E08045-3902-1,美学,余琳,"周一第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－202,文学院..
01E1146f-2661-1,文学概论,李艳丰,"周日第9,10,11节",,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,0,南404,文学院..
01E12341-3290-1,文字学,秦晓华,"周二第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,5－402,文学院..
01E1326a-0441-1,现代汉语（1）,张舸,周二第6节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,3－204,文学院..
01E1326a-0441-1,现代汉语（1）,张舸,"周二第7,8节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,3－204,文学院..
01E1326a-0455-1,现代汉语（1）,练春招,周五第2节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－305,文学院..
01E1326a-0455-1,现代汉语（1）,练春招,"周五第3,4节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,2－305,文学院..
01E1326a-5134-1,现代汉语（1）,郑武曦,"周五第3,4节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,3－101,文学院..
01E1326a-5134-1,现代汉语（1）,郑武曦,周五第2节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,3－101,文学院..
01E1326a-5134-2,现代汉语（1）,郑武曦,"周五第5,6节",,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－107,文学院..
01E1326a-5134-2,现代汉语（1）,郑武曦,周五第7节,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－107,文学院..
01E13346-0455-2,现代汉语词汇学,练春招,"周五第7,8节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,1－206,文学院..
01E13346-0455-3,现代汉语词汇学,练春招,"周五第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,5－104,文学院..
01E13845-2549-2,现代汉语语音学,黎意,"周三第7,8节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,4－102,文学院..
01E13845-2549-3,现代汉语语音学,黎意,"周三第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,5－103,文学院..
01E13943-2536-1,现代汉语语用学,肖海薇,"周三第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,5－104,文学院..
01E13943-2536-2,现代汉语语用学,肖海薇,"周三第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,3－104,文学院..
01E17963-0443-1,语言学概论,邵慧君,周一第2节,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,1,5－203,文学院..
